athlete_id,athlete_display_name,team_id,team_name,team_display_name,team_location,athlete_position_name,athlete_position_abbreviation,games_played,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points,games_started,team_score,opponent_team_score,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,points_per_40,rebounds_per_40,assists_per_40,steals_per_40,blocks_per_40,turnovers_per_40,fg_pct,three_pt_pct,ft_pct,efg_pct,ts_pct,best_ap_rank,is_ap_top25,height_inches,class_year,roster_position,previous_school,is_redshirt,conference,division,team_state,hometown_clean,state_clean,country_clean,year_numeric,is_transfer,team_state_long,is_homestate_transfer,is_hometown_transfer
4433411.0,Angela Dugalic,26,Bruins,UCLA Bruins,UCLA,Forward,F,38,904.0,136.0,271.0,29.0,89.0,40.0,54.0,62.0,152.0,214.0,82.0,42.0,24.0,70.0,76.0,341.0,3,83.9,56.4,23.8,9.0,5.6,2.2,1.1,0.6,1.8,15.1,9.5,3.6,1.9,1.1,3.1,50.2,32.6,74.1,55.5,57.8,2.0,True,76.0,Graduate Student,FORWARD,Oregon,False,Big Ten,I,CA,"DES PLAINES, ILL",IL,USA,5.0,True,California,False,False
4433419.0,Alli Campbell,2217,Stags,Fairfield Stags,Fairfield,Guard,G,24,342.0,20.0,63.0,5.0,18.0,17.0,18.0,16.0,28.0,44.0,22.0,13.0,2.0,13.0,29.0,62.0,5,75.5,53.6,14.2,2.6,1.8,0.9,0.5,0.1,0.5,7.3,5.1,2.6,1.5,0.2,1.5,31.7,27.8,94.4,35.7,43.7,25.0,True,72.0,Graduate Student,GUARD,Penn State,False,MAAC,I,CT,"ALTOONA, PA",PA,USA,5.0,True,,False,False
4433420.0,Maddie Scherr,2628,Horned Frogs,TCU Horned Frogs,TCU,Guard,G,20,464.0,34.0,88.0,28.0,73.0,11.0,14.0,5.0,58.0,63.0,59.0,22.0,17.0,18.0,42.0,107.0,18,79.6,54.2,23.2,5.4,3.2,3.0,1.1,0.8,0.9,9.2,5.4,5.1,1.9,1.5,1.6,38.6,38.4,78.6,54.5,56.8,8.0,True,70.0,Graduate Student,GUARD,Kentucky / Oregon,False,Big 12,I,TX,"FLORENCE, KY",KY,USA,5.0,True,Texas,False,False
4433434.0,Jana Van Gytenbeek,239,Bears,Baylor Bears,Baylor,Guard,G,34,1088.0,83.0,231.0,48.0,136.0,38.0,52.0,7.0,76.0,83.0,200.0,35.0,2.0,96.0,66.0,252.0,34,70.6,60.3,32.0,7.4,2.4,5.9,1.0,0.1,2.8,9.3,3.1,7.4,1.3,0.1,3.5,35.9,35.3,73.1,46.3,49.6,7.0,True,67.0,Graduate Student,GUARD,Stanford,False,Big 12,I,TX,"GREENWOOD VILLAGE, COLO",CO,USA,5.0,True,Texas,False,False
4433517.0,Latasha Lattimore,145,Rebels,Ole Miss Rebels,Ole Miss,Forward,F,36,955.0,145.0,301.0,15.0,47.0,86.0,121.0,81.0,141.0,222.0,38.0,21.0,74.0,76.0,49.0,391.0,19,75.2,62.2,26.5,10.9,6.2,1.1,0.6,2.1,2.1,16.4,9.3,1.6,0.9,3.1,3.2,48.2,31.9,71.1,50.7,55.2,12.0,True,76.0,Senior,FORWARD,Virginia,False,SEC,I,MS,"TORONTO, ONTARIO",,CANADA,4.0,True,Mississippi,False,False
4433518.0,Payton Verhulst,201,Sooners,Oklahoma Sooners,Oklahoma,Guard,G,34,1044.0,157.0,379.0,51.0,170.0,43.0,53.0,58.0,128.0,186.0,103.0,50.0,31.0,59.0,57.0,408.0,34,85.9,68.6,30.7,12.0,5.5,3.0,1.5,0.9,1.7,15.6,7.1,3.9,1.9,1.2,2.3,41.4,30.0,81.1,48.2,50.7,5.0,True,73.0,Senior,GUARD,Louisville,True,SEC,I,OK,"DE SOTO, KAN",KS,USA,4.0,True,Oklahoma,False,False
4433523.0,Rori Harmon,251,Longhorns,Texas Longhorns,Texas,Guard,G,39,1153.0,133.0,294.0,13.0,29.0,49.0,69.0,15.0,118.0,133.0,246.0,109.0,6.0,65.0,54.0,328.0,39,83.9,55.8,29.6,8.4,3.4,6.3,2.8,0.2,1.7,11.4,4.6,8.5,3.8,0.2,2.3,45.2,44.8,71.0,47.4,50.6,2.0,True,66.0,Graduate Student,GUARD,,False,SEC,I,TX,"HOUSTON, TEXAS",TX,USA,5.0,False,Texas,False,False
4433526.0,Jada Malone,2641,Lady Raiders,Texas Tech Lady Raiders,Texas Tech,Forward,F,34,519.0,88.0,146.0,0.0,0.0,63.0,82.0,50.0,67.0,117.0,25.0,19.0,6.0,54.0,95.0,239.0,1,70.8,59.1,15.3,7.0,3.4,0.7,0.6,0.2,1.6,18.4,9.0,1.9,1.5,0.5,4.2,60.3,,76.8,60.3,65.6,16.0,True,75.0,Senior,FORWARD,Texas A&M,True,Big 12,I,TX,"SPRING, TEXAS",TX,USA,4.0,True,Texas,True,False
4433530.0,Malaya Cowles,87,Fighting Irish,Notre Dame Fighting Irish,Notre Dame,Forward,F,33,916.0,118.0,227.0,0.0,0.0,25.0,41.0,66.0,110.0,176.0,47.0,55.0,27.0,58.0,97.0,261.0,26,75.2,65.6,27.8,7.9,5.3,1.4,1.7,0.8,1.8,11.4,7.7,2.1,2.4,1.2,2.5,52.0,,61.0,52.0,53.3,15.0,True,75.0,Graduate Student,FORWARD,Wake Forest,False,ACC,I,IN,"WILKESBORO, NC",NC,USA,5.0,True,Indiana,False,False
4433534.0,Caroline Ducharme,41,Huskies,UConn Huskies,UConn,Guard,G,25,185.0,13.0,49.0,4.0,23.0,6.0,8.0,9.0,35.0,44.0,21.0,7.0,5.0,15.0,8.0,36.0,1,88.9,47.8,7.4,1.4,1.8,0.8,0.3,0.2,0.6,7.8,9.5,4.5,1.5,1.1,3.2,26.5,17.4,75.0,30.6,34.3,1.0,True,74.0,Senior,GUARD,,True,Big East,I,CT,"MILTON, MASS",MA,USA,4.0,False,Connecticut,False,False
