game_id,team_id,zone_id,zone_name,zone_type,fgm,fga,fg_pct,fga_pct
401805035,2229.0,1,At The Rim,Paint,13,28,0.4642857142857143,0.34146341463414637
401805035,2229.0,5,Unknown 2PT,Midrange,30,30,1.0,0.36585365853658536
401805035,2229.0,11,Top of Key 3s,3PT,1,20,0.05,0.24390243902439024
401805035,2348.0,1,At The Rim,Paint,11,28,0.39285714285714285,0.3333333333333333
401805035,2348.0,5,Unknown 2PT,Midrange,29,29,1.0,0.34523809523809523
401805035,2348.0,11,Top of Key 3s,3PT,7,22,0.3181818181818182,0.2619047619047619
401805036,55.0,1,At The Rim,Paint,6,13,0.46153846153846156,0.20967741935483872
401805036,55.0,5,Unknown 2PT,Midrange,16,17,0.9411764705882353,0.27419354838709675
401805036,55.0,11,Top of Key 3s,3PT,7,23,0.30434782608695654,0.3709677419354839
401805036,2393.0,1,At The Rim,Paint,9,17,0.5294117647058824,0.24285714285714285
401805036,2393.0,5,Unknown 2PT,Midrange,19,20,0.95,0.2857142857142857
401805036,2393.0,11,Top of Key 3s,3PT,4,14,0.2857142857142857,0.2
401805037,98.0,1,At The Rim,Paint,13,23,0.5652173913043478,0.359375
401805037,98.0,5,Unknown 2PT,Midrange,9,10,0.9,0.15625
401805037,98.0,11,Top of Key 3s,3PT,3,17,0.17647058823529413,0.265625
401805037,338.0,1,At The Rim,Paint,18,29,0.6206896551724138,0.4027777777777778
401805037,338.0,5,Unknown 2PT,Midrange,18,20,0.9,0.2777777777777778
401805037,338.0,11,Top of Key 3s,3PT,3,14,0.21428571428571427,0.19444444444444445
401805038,2534.0,1,At The Rim,Paint,14,37,0.3783783783783784,0.3894736842105263
401805038,2534.0,5,Unknown 2PT,Midrange,33,33,1.0,0.3473684210526316
401805038,2534.0,11,Top of Key 3s,3PT,6,10,0.6,0.10526315789473684
401805038,2623.0,1,At The Rim,Paint,18,27,0.6666666666666666,0.39705882352941174
401805038,2623.0,5,Unknown 2PT,Midrange,17,18,0.9444444444444444,0.2647058823529412
401805038,2623.0,11,Top of Key 3s,3PT,4,10,0.4,0.14705882352941177
401805039,48.0,1,At The Rim,Paint,11,22,0.5,0.3055555555555556
401805039,48.0,5,Unknown 2PT,Midrange,17,17,1.0,0.2361111111111111
401805039,48.0,11,Top of Key 3s,3PT,7,22,0.3181818181818182,0.3055555555555556
401805039,166.0,1,At The Rim,Paint,10,16,0.625,0.24242424242424243
